id;name;parent_id:id
categ1;BOMBAS AZCUE;product.product_category_all
categ2;SERIE AN;categ1
categ3;SERIE BLOC;categ1
categ4;SERIE BOB;categ1
categ5;SERIE BT;categ1
categ6;SERIE BTR;categ1
categ7;SERIE C;categ1
categ8;SERIE CA;categ1
categ9;SERIE CM;categ1
categ10;SERIE CP;categ1
categ11;SERIE HOMA;categ1
categ12;SERIE KB-KL;categ1
categ13;SERIE LD;categ1
categ14;SERIE LN;categ1
categ15;SERIE MEMBRANA;categ1
categ16;SERIE MN;categ1
categ17;SERIE MP;categ1
categ18;SERIE P0M;categ1
categ19;SERIE RA;categ1
categ20;SERIE RJ;categ1
categ21;SERIA SP;categ1
categ22;SERIE VA-VB;categ1
categ23;SERIE VD;categ1
categ24;SERIE VM;categ1
categ25;SERIE VR;categ1
categ26;SERIE VRX;categ1
categ27;SERIE VSS;categ1
categ28;SERIE VST;categ1
categ29;SERIE YE;categ1
categ30;SERIE VAC;categ1
categ31;BOMBAS AZCUE ANTIGUAS;categ1
categ32;OTRAS SERIES AZCUE;categ1
categ33;REPUESTOS BOMBAS AZCUE;product.product_category_all
categ34;OTRAS BOMBAS;product.product_category_all
categ35;BOMBAS SACI;categ34
categ36;BOMBAS SUMERGIBLES;categ34
categ37;BOMBAS NEUMÁTICAS;categ34
categ38;BOMBAS LOBULARES;categ34
categ39;BOMBAS DE IMPULSOR FLEXIBLE;categ34
categ40;BOMBAS DE ARRASTRE MAGNÉTICO;categ34
categ41;BOMBAS DE ALTA PRESIÓN;categ34
categ42;BOMBAS DE HUSILLO;categ34
categ43;OTRAS BOMBAS;categ34
categ44;MAQUINARIA INDUSTRIAL;product.product_category_all
categ45;COMPRESORES ABC;categ44
categ46;EQUIPOS COMPRESORES ABC;categ45
categ47;REPUESTOS COMPRESORES ABC;categ45
categ48;INTERCAMBIADORES DE CALOR;categ44
categ49;GENERADORES DE AGUA DULCE;categ44
categ50;MOTORES ELÉCTRICOS;categ44
categ51;TURBINAS Y SOPLANTES;categ44
categ52;TANQUES Y DEPÓSITOS A PRESIÓN;categ44
categ53;VÁLVULAS;categ44
categ54;TUBERÍAS Y CONEXIONES;categ44
categ55;REPUESTOS DE MOTORES (a extinguir);categ44
categ56;SEGMENTOS BAR-VIZ (a extinguir);categ44
categ57;ACOPLAMIENTOS (a extinguir);categ44
categ58;RODAMIENTOS Y RETENES (a extinguir);categ44
categ59;CUADROS ELÉCTRICOS Y AUTOMATIZACIÓN;categ44
categ60;OTRA MAQUINARIA INDUSTRIAL;categ44
categ61;TRATAMIENTO DE AGUAS;product.product_category_all
categ62;FILTRACIÓN;categ61
categ63;FILTROS DE LECHO EN PLÁSTICO;categ62
categ64;FILTROS DE LECHO METÁLICOS;categ62
categ65;FILTROS DE CARTUCHO;categ62
categ66;FILTROS DE MALLA;categ62
categ67;FILTROS CINTROPUR;categ62
categ68;FILTROS DE CESTA O CANASTA;categ62
categ69;FILTROS AUTOMÁTICOS;categ62
categ70;OTROS FILTROS;categ62
categ71;ULTRAFILTRACIÓN;categ61
categ72;MEDICIÓN Y CONTROL;categ61
categ73;CAUDALÍMETROS;categ72
categ74;MEDICIÓN EN CANALES ABIERTOS (PARSHALL);categ72
categ75;INSTRUMENTACIÓN Y CONTROL;categ72
categ76;SISTEMAS DE DOSIFICACIÓN;categ61
categ77;PROCESOS INTERCAMBIO IÓNICO;categ61
categ78;PROCESOS ÓSMOSIS INVERSA;categ61
categ79;DESINFECCIÓN DE AGUAS;categ61
categ80;ULTRAVIOLETAS;categ79
categ81;OZONO;categ79
categ82;ULTRASONIDOS;categ79
categ83;TRATAMIENTO AGUAS GRISES O PLUVIALES;categ61
categ84;PRODUCTOS QUÍMICOS Y BIOLÓGICOS;categ61
categ85;MEDIOS FILTRANTES Y RESINAS;categ61
categ86;EQUIPAMIENTO PISCINAS;categ61
categ87;PLANTAS DE TRATAMIENTO DE AGUAS;categ61
categ88;TRATAMIENTO DE AGUAS - VARIOS;categ61
categ89;DEPURACIÓN DE AGUAS RESIDUALES;product.product_category_all
categ90;DEPÓSITOS;categ89
categ91;SEPARADORES DE GRASAS;categ90
categ92;SEPARADORES DE HIDROCARBUROS;categ90
categ93;FOSAS SÉPTICAS Y FILTROS BIOLÓGICOS;categ90
categ94;DEPURADORAS COMPACTAS OXIDACIÓN;categ90
categ95;OTROS DEPÓSITOS;categ90
categ96;POZOS DE BOMBEO PREFABRICADO;categ89
categ97;SANPUR;categ96
categ98;OTROS POZOS DE BOMBEO;categ96
categ99;DEPURSAN;categ89
categ100;EQUIPOS PARA EDAR - PRETRATAMIENTOS;categ89
categ101;DEPURADORAS AGUAS RESIDUALES URBANAS;categ89
categ102;DEPURADORAS AGUAS RESIDUALES INDUSTRIALES;categ89
categ103;EQUIPOS PARA TRATAMIENTO DE FANGOS;categ89
categ104;INSTALACIONES Y SERVICIOS;product.product_category_all
categ105;INSTALACIONES Y MONTAJES;categ104
categ106;TRANSPORTE;categ104
categ107;REPLANTEOS;categ104
categ108;PUESTA EN MARCHA;categ104
categ109;REPARACIONES;categ104
categ110;MANTENIMIENTOS;categ104
categ111;ASISTENCIA TÉCNICA;categ104
categ112;CERTIFICACIONES;categ104
categ113;FORMACIÓN;categ104
categ114;GESTIÓN COMERCIAL - COMISIONES AZCUE;categ104
categ115;OTROS SERVICIOS;categ104
